Order_Line_ID,Order_ID,Store_ID,SKU,Source_Hub_ID,Order_Date,Required_Delivery_Date,Quantity_Ordered,Is_Express,Quantity_Shipped
OL00001,ORD00001,ST059,SKU0232,HUB-DEL,2022-01-01,2022-01-07,6,False,6
OL00002,ORD00001,ST059,SKU0371,HUB-BLR,2022-01-01,2022-01-07,5,False,5
OL00003,ORD00001,ST059,SKU0425,HUB-BOM,2022-01-01,2022-01-07,3,False,3
OL00004,ORD00002,ST029,SKU0030,HUB-DEL,2022-01-01,2022-01-10,7,False,7
OL00005,ORD00003,ST022,SKU0198,HUB-DEL,2022-01-01,2022-01-09,4,False,4
OL00006,ORD00003,ST022,SKU0091,HUB-BOM,2022-01-01,2022-01-09,2,False,2
OL00007,ORD00003,ST022,SKU0299,HUB-BLR,2022-01-01,2022-01-09,3,False,3
OL00008,ORD00003,ST022,SKU0002,HUB-BLR,2022-01-01,2022-01-09,3,False,3
OL00009,ORD00003,ST022,SKU0031,HUB-DEL,2022-01-01,2022-01-09,3,False,3
OL00010,ORD00004,ST025,SKU0001,HUB-BOM,2022-01-01,2022-01-09,8,False,8
OL00011,ORD00005,ST004,SKU0363,HUB-BLR,2022-01-01,2022-01-07,7,False,7
OL00012,ORD00005,ST004,SKU0100,HUB-BOM,2022-01-01,2022-01-07,4,False,4
OL00013,ORD00006,ST038,SKU0339,HUB-BLR,2022-01-01,2022-01-10,7,False,7
OL00014,ORD00007,ST017,SKU0417,HUB-BLR,2022-01-01,2022-01-10,7,False,7
OL00015,ORD00007,ST017,SKU0368,HUB-BOM,2022-01-01,2022-01-10,3,False,3
OL00016,ORD00008,ST055,SKU0449,HUB-DEL,2022-01-01,2022-01-11,6,False,6
OL00017,ORD00009,ST014,SKU0234,HUB-DEL,2022-01-01,2022-01-06,4,False,4
OL00018,ORD00009,ST014,SKU0042,HUB-DEL,2022-01-01,2022-01-06,2,False,2
OL00019,ORD00010,ST022,SKU0367,HUB-BOM,2022-01-01,2022-01-08,1,False,1
OL00020,ORD00010,ST022,SKU0408,HUB-DEL,2022-01-01,2022-01-08,2,False,2
OL00021,ORD00010,ST022,SKU0373,HUB-DEL,2022-01-01,2022-01-08,2,False,2
OL00022,ORD00011,ST012,SKU0441,HUB-DEL,2022-01-01,2022-01-05,7,False,7
OL00023,ORD00011,ST012,SKU0243,HUB-DEL,2022-01-01,2022-01-05,10,False,10
OL00024,ORD00011,ST012,SKU0268,HUB-BOM,2022-01-01,2022-01-05,3,False,3
OL00025,ORD00011,ST012,SKU0421,HUB-DEL,2022-01-01,2022-01-05,9,False,9
OL00026,ORD00011,ST012,SKU0292,HUB-DEL,2022-01-01,2022-01-05,7,False,7
OL00027,ORD00012,ST032,SKU0390,HUB-BOM,2022-01-01,2022-01-09,5,False,5
OL00028,ORD00013,ST038,SKU0091,HUB-BOM,2022-01-01,2022-01-08,3,False,3
OL00029,ORD00013,ST038,SKU0277,HUB-BLR,2022-01-01,2022-01-08,3,False,3
OL00030,ORD00013,ST038,SKU0414,HUB-BOM,2022-01-01,2022-01-08,4,False,4
OL00031,ORD00013,ST038,SKU0084,HUB-BOM,2022-01-01,2022-01-08,3,False,3
OL00032,ORD00014,ST056,SKU0127,HUB-DEL,2022-01-01,2022-01-08,5,False,5
OL00033,ORD00015,ST004,SKU0119,HUB-DEL,2022-01-01,2022-01-07,4,False,4
OL00034,ORD00015,ST004,SKU0238,HUB-BLR,2022-01-01,2022-01-07,9,False,9
OL00035,ORD00015,ST004,SKU0376,HUB-DEL,2022-01-01,2022-01-07,4,False,4
OL00036,ORD00015,ST004,SKU0321,HUB-BLR,2022-01-01,2022-01-07,7,False,7
OL00037,ORD00016,ST032,SKU0387,HUB-DEL,2022-01-01,2022-01-11,7,False,7
OL00038,ORD00016,ST032,SKU0181,HUB-DEL,2022-01-01,2022-01-11,4,False,4
